from_node,to_node
Pacific National (Victoria) Ltd,Rail Corporation NSW
Pacific National (Victoria) Ltd,TMG Rail Technology Pty Ltd
Pacific National (Victoria) Ltd,The University Of Queensland
Pacific National (Victoria) Ltd,UNIVERSITY OF SOUTH AUSTRALIA
Pacific National (Victoria) Ltd,UNIVERSITY OF WOLLONGONG
QR LIMITED,Queensland University of Technology
QR LIMITED,Rail Corporation NSW
QR LIMITED,TMG Rail Technology Pty Ltd
QR LIMITED,The University Of Queensland
QR LIMITED,UNIVERSITY OF SOUTH AUSTRALIA
QR LIMITED,UNIVERSITY OF WOLLONGONG
Queensland University of Technology,Rail Corporation NSW
Queensland University of Technology,TMG Rail Technology Pty Ltd
Queensland University of Technology,The University Of Queensland
Queensland University of Technology,UNIVERSITY OF SOUTH AUSTRALIA
Queensland University of Technology,UNIVERSITY OF WOLLONGONG
Rail Corporation NSW,TMG Rail Technology Pty Ltd
Rail Corporation NSW,The University Of Queensland
Rail Corporation NSW,UNIVERSITY OF SOUTH AUSTRALIA
Rail Corporation NSW,UNIVERSITY OF WOLLONGONG
TMG Rail Technology Pty Ltd,The University Of Queensland
TMG Rail Technology Pty Ltd,UNIVERSITY OF SOUTH AUSTRALIA
TMG Rail Technology Pty Ltd,UNIVERSITY OF WOLLONGONG
The University Of Queensland,UNIVERSITY OF SOUTH AUSTRALIA
The University Of Queensland,UNIVERSITY OF WOLLONGONG
UNIVERSITY OF SOUTH AUSTRALIA,UNIVERSITY OF WOLLONGONG
"Cornell Research Foundation, Inc.","The United States of America, as represented by the Secretary of Agriculture"
"Potter Electric Signal Company, LLC","TACO, INC."
"MCW Research Foundation, Inc.",Wisconsin Alumni Research Foundation
"Naoetsu Electronics Co., Ltd.","SHIN-ETSU CHEMICAL CO., LTD."
CHIMEI INNOLUX CORPORATION,"INNOCOM TECHNOLOGY (SHENZHEN) CO., LTD."
NICHIA CORPORATION,"NIPPON ELECTRIC GLASS CO., LTD."
"NAKANISHI METAL WORKS CO., LTD.",OTICS CORPORATION
CALSONIC KANSEI CORPORATION,"Nissan Motor Co., Ltd."
LE CENTRE NATIONAL DE LARECHERCHE SCIENTIFIQUE,UMICORE
Babcock-Hitachi Kabushiki Kaisha,"Hitachi Plant Technologies, Ltd."
"Nippon Shokubai Co., Ltd.",SEIKO EPSON CORPORATION
INTER-UNIVERSITY RESEARCH INSTITUTE COPORATION NATIONAL INSTITUTES OF NATURAL SCIENCES,Tokyo Institute of Technology
"F. Hoffman-LaRoche, AG (EX-US)","Genentech, Inc."
"F. Hoffman-LaRoche, AG (EX-US)","Hoffman-LaRoche, Inc. (US Only)"
"Genentech, Inc.","Hoffman-LaRoche, Inc. (US Only)"
"Ming Yu Innovation, Co., Ltd","PROLOGIUM TECHNOLOGY CO., LTD."
Toppoly Optoelectronics Corp.,University of Central Florida Research Foundation
FUJI ELECTRIC SYSTEMS CO. LTD.,Fujikura Ltd.
FUJI ELECTRIC SYSTEMS CO. LTD.,"International Superconductivity Technology Center, the Juridical Foundation"
Fujikura Ltd.,"International Superconductivity Technology Center, the Juridical Foundation"
"AUTONETWORKS TECHNOLOGIES, LTD.","SUMITOMO WIRING SYSTEMS, LTD."
"AUTONETWORKS TECHNOLOGIES, LTD.","Sumitomo Electric Industries, Ltd."
"SUMITOMO WIRING SYSTEMS, LTD.","Sumitomo Electric Industries, Ltd."
TS Pharma,UNIVERSITE D'AVIGNON ET DES PAYS DE VAUCLUSE
"HINO MOTORS, LTD.","HITACHI, LTD."
The Board of Trustees of the Leland Stanford Junior University,UNIVERSITY HEALTH NETWORK
"Kanto Sanyo Semiconductor Co., Ltd.","SANYO ELECTRIC CO., LTD."
Kabushiki Kaisha Toshiba,Toshiba Solutions Corporation
AIRBUS,AIRBUS DEUTSCHLAND GMBH
DENSO CORPORATION,"SUMITOMO LIGHT METAL INDUSTRIES, LTD."
Baxter Healthcare SA,Baxter International Inc.
"Cornell Research Foundation, Inc.",The Trustees of the University of Pennsylvania
AvanStrate Inc.,HOYA CORPORATION
"Beijing FUNATE Innovation Technology Co., LTD.","HON HAI PRECISION INDUSTRY CO., LTD."
Ottawa Hospital Research Institute,Wellstat Biologics Corporation
"HON HAI PRECISION INDUSTRY CO., LTD.",TSINGHUA UNIVERSITY
Japan Science and Technology Agency,"NISSIN ELECTRIC CO., LTD."
Japan Science and Technology Agency,"OTSUKA CHEMICAL CO., LTD."
Japan Science and Technology Agency,Public University Corporation Osaka Prefecture University
Japan Science and Technology Agency,TAIYO NIPPON SANSO CORPORATION
"NISSIN ELECTRIC CO., LTD.","OTSUKA CHEMICAL CO., LTD."
"NISSIN ELECTRIC CO., LTD.",Public University Corporation Osaka Prefecture University
"NISSIN ELECTRIC CO., LTD.",TAIYO NIPPON SANSO CORPORATION
"OTSUKA CHEMICAL CO., LTD.",Public University Corporation Osaka Prefecture University
"OTSUKA CHEMICAL CO., LTD.",TAIYO NIPPON SANSO CORPORATION
Public University Corporation Osaka Prefecture University,TAIYO NIPPON SANSO CORPORATION
"Motorola, Inc.",PURDUE UNIVERSITY
INSTITUT FRANCAIS DU PETROLE,TOTAL SA
ROBARTS RESEARCH INSTITUTE,University of Washington
HITACHI ZOSEN CORPORATION,Honshu-Shikoku Bridge Expressway Company Limited
HITACHI ZOSEN CORPORATION,INCORPORATED ADMINISTRATIVE AGENCY PUBLIC WORKS RESEARCH INSTITUTE
HITACHI ZOSEN CORPORATION,"ISHIKAWAJIMA-HARIMA HEAVY INDUSTRIES CO., LTD."
HITACHI ZOSEN CORPORATION,Incorporated Foundation Public Works Research Center
HITACHI ZOSEN CORPORATION,JFE ENGINEERING CORPORATION
HITACHI ZOSEN CORPORATION,"KAWADA INDUSTRIES, INC"
HITACHI ZOSEN CORPORATION,KAWASAKI JUKOGYO KABUSHIKI KAISHA
HITACHI ZOSEN CORPORATION,Mitsubishi Electric Corporation
HITACHI ZOSEN CORPORATION,"Mitsui Engineering & Shipbuilding Co., Ltd."
HITACHI ZOSEN CORPORATION,"SUMITOMO HEAVY INDUSTRIES, LTD."
Honshu-Shikoku Bridge Expressway Company Limited,INCORPORATED ADMINISTRATIVE AGENCY PUBLIC WORKS RESEARCH INSTITUTE
Honshu-Shikoku Bridge Expressway Company Limited,"ISHIKAWAJIMA-HARIMA HEAVY INDUSTRIES CO., LTD."
Honshu-Shikoku Bridge Expressway Company Limited,Incorporated Foundation Public Works Research Center
Honshu-Shikoku Bridge Expressway Company Limited,JFE ENGINEERING CORPORATION
Honshu-Shikoku Bridge Expressway Company Limited,"KAWADA INDUSTRIES, INC"
Honshu-Shikoku Bridge Expressway Company Limited,KAWASAKI JUKOGYO KABUSHIKI KAISHA
Honshu-Shikoku Bridge Expressway Company Limited,Mitsubishi Electric Corporation
Honshu-Shikoku Bridge Expressway Company Limited,"Mitsui Engineering & Shipbuilding Co., Ltd."
Honshu-Shikoku Bridge Expressway Company Limited,"SUMITOMO HEAVY INDUSTRIES, LTD."
INCORPORATED ADMINISTRATIVE AGENCY PUBLIC WORKS RESEARCH INSTITUTE,"ISHIKAWAJIMA-HARIMA HEAVY INDUSTRIES CO., LTD."
INCORPORATED ADMINISTRATIVE AGENCY PUBLIC WORKS RESEARCH INSTITUTE,Incorporated Foundation Public Works Research Center
INCORPORATED ADMINISTRATIVE AGENCY PUBLIC WORKS RESEARCH INSTITUTE,JFE ENGINEERING CORPORATION
INCORPORATED ADMINISTRATIVE AGENCY PUBLIC WORKS RESEARCH INSTITUTE,"KAWADA INDUSTRIES, INC"
INCORPORATED ADMINISTRATIVE AGENCY PUBLIC WORKS RESEARCH INSTITUTE,KAWASAKI JUKOGYO KABUSHIKI KAISHA
INCORPORATED ADMINISTRATIVE AGENCY PUBLIC WORKS RESEARCH INSTITUTE,Mitsubishi Electric Corporation
INCORPORATED ADMINISTRATIVE AGENCY PUBLIC WORKS RESEARCH INSTITUTE,"Mitsui Engineering & Shipbuilding Co., Ltd."
INCORPORATED ADMINISTRATIVE AGENCY PUBLIC WORKS RESEARCH INSTITUTE,"SUMITOMO HEAVY INDUSTRIES, LTD."
"ISHIKAWAJIMA-HARIMA HEAVY INDUSTRIES CO., LTD.",Incorporated Foundation Public Works Research Center
"ISHIKAWAJIMA-HARIMA HEAVY INDUSTRIES CO., LTD.",JFE ENGINEERING CORPORATION
"ISHIKAWAJIMA-HARIMA HEAVY INDUSTRIES CO., LTD.","KAWADA INDUSTRIES, INC"
"ISHIKAWAJIMA-HARIMA HEAVY INDUSTRIES CO., LTD.",KAWASAKI JUKOGYO KABUSHIKI KAISHA
"ISHIKAWAJIMA-HARIMA HEAVY INDUSTRIES CO., LTD.",Mitsubishi Electric Corporation
"ISHIKAWAJIMA-HARIMA HEAVY INDUSTRIES CO., LTD.","Mitsui Engineering & Shipbuilding Co., Ltd."
"ISHIKAWAJIMA-HARIMA HEAVY INDUSTRIES CO., LTD.","SUMITOMO HEAVY INDUSTRIES, LTD."
Incorporated Foundation Public Works Research Center,JFE ENGINEERING CORPORATION
Incorporated Foundation Public Works Research Center,"KAWADA INDUSTRIES, INC"
Incorporated Foundation Public Works Research Center,KAWASAKI JUKOGYO KABUSHIKI KAISHA
Incorporated Foundation Public Works Research Center,Mitsubishi Electric Corporation
Incorporated Foundation Public Works Research Center,"Mitsui Engineering & Shipbuilding Co., Ltd."
Incorporated Foundation Public Works Research Center,"SUMITOMO HEAVY INDUSTRIES, LTD."
JFE ENGINEERING CORPORATION,"KAWADA INDUSTRIES, INC"
JFE ENGINEERING CORPORATION,KAWASAKI JUKOGYO KABUSHIKI KAISHA
JFE ENGINEERING CORPORATION,Mitsubishi Electric Corporation
JFE ENGINEERING CORPORATION,"Mitsui Engineering & Shipbuilding Co., Ltd."
JFE ENGINEERING CORPORATION,"SUMITOMO HEAVY INDUSTRIES, LTD."
"KAWADA INDUSTRIES, INC",KAWASAKI JUKOGYO KABUSHIKI KAISHA
"KAWADA INDUSTRIES, INC",Mitsubishi Electric Corporation
"KAWADA INDUSTRIES, INC","Mitsui Engineering & Shipbuilding Co., Ltd."
"KAWADA INDUSTRIES, INC","SUMITOMO HEAVY INDUSTRIES, LTD."
KAWASAKI JUKOGYO KABUSHIKI KAISHA,Mitsubishi Electric Corporation
KAWASAKI JUKOGYO KABUSHIKI KAISHA,"Mitsui Engineering & Shipbuilding Co., Ltd."
KAWASAKI JUKOGYO KABUSHIKI KAISHA,"SUMITOMO HEAVY INDUSTRIES, LTD."
Mitsubishi Electric Corporation,"Mitsui Engineering & Shipbuilding Co., Ltd."
Mitsubishi Electric Corporation,"SUMITOMO HEAVY INDUSTRIES, LTD."
"Mitsui Engineering & Shipbuilding Co., Ltd.","SUMITOMO HEAVY INDUSTRIES, LTD."
"NISSAN CHEMICAL INDUSTRIES, LTD.","TOUDAI TLO, Ltd."
Tyco Electronics AMP GmbH,"Tyco Electronics Co., Ltd"
Tyco Electronics AMP GmbH,Tyco Electronics Logistics AG
"Tyco Electronics Co., Ltd",Tyco Electronics Logistics AG
AISIN SEIKI KABUSHIKI KAISHA,TOYOTA JIDOSHA KABUSHIKI KAISHA
"Harmonic AD, Inc.","Sumitomo Electric Industries, Ltd."
ChipMOS Technologies Inc.,Chipmos Technologies (Bermuda) Ltd
"SAMSUNG ELECTRONICS CO., LTD.","SAMSUNG FINE CHEMICALS CO., LTD."
CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE,Da Volterra
HYUNDAI MOTOR COMPANY,KIA MOTORS CORPORATION
CALIFORNIA INSTITUTE OF TECHNOLOGY,The United States of America
"HITACHI, LTD.","HITACHI-LG DATA STORAGE, INC."
AISIN SEIKI KABUSHIKI KAISHA,TOYOTA BOSHOKU KABUSHIKI KAISHA
"SANYO ELECTRIC CO., LTD.","SANYO Semiconductor Co., Ltd."
"Ishikawajima Inspection & Instrumentation Co., Ltd",National Institute of Advanced Industrial Science and Technology
"ADVANCED OPTOELECTRONIC TECHNOLOGY, INC.",Zhanjing Technology (Shen Zhen) Inc.
Kabushiki Kaisha Toshiba,"SANYO ELECTRIC CO., LTD."
Kabushiki Kaisha Toshiba,SONY GROUP CORPORATION
Kabushiki Kaisha Toshiba,"ULVAC, INC."
"SANYO ELECTRIC CO., LTD.",SONY GROUP CORPORATION
"SANYO ELECTRIC CO., LTD.","ULVAC, INC."
SONY GROUP CORPORATION,"ULVAC, INC."
DENSO CORPORATION,SUMCO CORPORATION
Qimonda AG,Qimonda North America Corp.
LEGRAND FRANCE,LEGRAND SNC
"Hitachi Ulsi Systems Co., Ltd.",Renesas Technology Corporation
Infineon Technologies AG,International Business Machines Corporation
Intematix Corporation,Kabushiki Kaisha Toshiba
COMPLITIME SA,VAUCHER MANUFACTURE FLEURIER S.A.
CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE,COMMISSARIAT A L'ENERGIE ATOMIQUE ET AUX ENERGIES ALTERNATIVES
CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE,UNIVERSITE JEAN MONNET
COMMISSARIAT A L'ENERGIE ATOMIQUE ET AUX ENERGIES ALTERNATIVES,UNIVERSITE JEAN MONNET
FUJITSU FRONTECH LIMITED,FUJITSU LIMITED
BATSCAP,CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE
STMicroelectronics (Rousset) SAS,Universite de Provence (Aix Marseille I)
Arkema Inc.,Pilkington Group Limited
North Carolina State University,The University of North Carolina at Chapel Hill
"SHIN-ETSU CHEMICAL CO., LTD.","Sumitomo Electric Industries, Ltd."
Korea University Industrial & Academic Collaboration Foundation,"SAMSUNG ELECTRONICS CO., LTD."
MICHELIN RECHERCHE ET TECHNIQUE S.A.,Societe de Technologie Michelin
Pioneer Corporation,Tohoku Pioneer Corporation
NTT Data Sanyo System Corporation,"SANYO ELECTRIC CO., LTD."
Max-Planck-Gesellschaft zur Föderung der Wissenschaften e.V.,SCHUNK KOHLENSTOFFTECHNIK GMBH
"NGK INSULATORS, LTD.","Soshin Electric Co., Ltd."
Laboratory of Aquatic Science Consultant Corporation,"M.O. Marine Consulting, Ltd."
Laboratory of Aquatic Science Consultant Corporation,"Mitsui Engineering & Shipbuilding Co., Ltd."
Laboratory of Aquatic Science Consultant Corporation,Shinko Ind. Ltd.
Laboratory of Aquatic Science Consultant Corporation,The Japan Association of Marine Safety
"M.O. Marine Consulting, Ltd.","Mitsui Engineering & Shipbuilding Co., Ltd."
"M.O. Marine Consulting, Ltd.",Shinko Ind. Ltd.
"M.O. Marine Consulting, Ltd.",The Japan Association of Marine Safety
"Mitsui Engineering & Shipbuilding Co., Ltd.",Shinko Ind. Ltd.
"Mitsui Engineering & Shipbuilding Co., Ltd.",The Japan Association of Marine Safety
Shinko Ind. Ltd.,The Japan Association of Marine Safety
ELI LILLY AND COMPANY,The Board of Trustees of the Leland Stanford Junior University
Institute of Radio Engineering and Electronics of Ras,"SAMSUNG ELECTRONICS CO., LTD."
FUJIFILM Corporation,Fujinon Corporation
"Hain, Uwe & Hain, Silke",LS Beratungsburo Lublow GmbH
Kabushiki Kaisha Toshiba,Toshiba Lighting & Technology Corporation
London Health Sciences Centre,National Research Council of Canada
Ammono Sp. z o.o.,NICHIA CORPORATION
SMC CORPORATION,TOHOKU UNIVERSITY
"Government of the United States of America, as represented by the Secretary of Commerce",National Institute of Standards and Technology
Kabushiki Kaisha Toshiba,TOSHIBA TEC KABUSHIKI KAISHA
THE ARIZONA BOARD OF REGENTS,UNIVERSITY OF PITTSBURGH
UNIVERSAL DISPLAY CORPORATION,University of Southern California
ABB AG,Stanford University
"Transform Pharmaceuticals, Inc.",University of South Florida
KOMATSU LTD.,"USHIO, INC."
"Shicoh Engineering Co., Ltd.","Shicoh Motor (Shanghai) Co., Ltd."
Centre Luxembourgeois de Recherches pour le Verre et la Ceramique S.A. (C.R.V.C.),Guardian Industries Corp.
Mayo Foundation for Medical Education and Research,"Roche Molecular Systems, Inc."
National Taiwan University,UNITED MICROELECTRONICS CORP.
"SAMSUNG ELECTRONICS CO., LTD.",THE CITY UNIVERSITY OF NEW YORK
CALIFORNIA INSTITUTE OF TECHNOLOGY,University of Southern California
KYOCERA MITA CORPORATION,"Kyocera Technology Development, Inc."
HYUNDAI MOTOR COMPANY,KOREA INSTITUTE OF CERAMIC ENGINEERING AND TECHNOLOGY
DENSO CORPORATION,Furukawa-Sky Aluminum Corp.
POSTECH ACADEMY-INDUSTRY FOUNDATION,POSTECH FOUNDATION
"PIONEER HI-BRED INTERNATIONAL, INC.",The Regents of the University of California
LITE-ON TECHNOLOGY CORPORATION,"Silitek Electronic (Guangzhou) Co., Ltd."
SONY GROUP CORPORATION,"TAMRON CO., LTD."
Bunge Fertilizantes S.A.,UNIVERSIDADE ESTADUAL DE CAMPINAS
SHARP KABUSHIKI KAISHA,"Semiconductor Energy Laboratory Co., Ltd."
HOYA CORPORATION,NISSHIN ENGINEERING INC.
CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE,UNIVERSITÉ PARIS-SUD
"Paratek Pharmaceuticals, Inc.",Trustees of Tufts College
MARTIN GmbH für Umwelt- und Energietechik,Mitsubishi Electric Corporation
"IDEMITSU KOSAN CO., LTD.",Research Association of Refinery Integration for Group Operation
North Carolina State University,University of North Carolina
The University of New South Wales,Ventrassist Pty Ltd.
HOYA CORPORATION,Hoya Magnetics Singapore Pte. Ltd.
"SUMITOMO METAL INDUSTRIES, LTD.","SUMITOMO PIPE & TUBE CO., LTD."
"SUMITOMO METAL INDUSTRIES, LTD.","TOYODA IRON WORKS CO., LTD."
"SUMITOMO PIPE & TUBE CO., LTD.","TOYODA IRON WORKS CO., LTD."
INTERUNIVERSITAIR MICRO-ELECTRONICA CENTRUM VZW,Universiteit Hasselt
"Downing Displays, Inc.",The Portables Exhibit Systems Limited
"FUENCE CO., LTD.",RIKEN
SNECMA,SNECMA Services
"IKEGAMI TSUSHINKI CO., LTD.",Kabushiki Kaisha Toshiba
"HITACHI, LTD.","Hitachi Device Engineering Co., Ltd."
Cedars Sinai Medical Center,Forskarpatent I SYD AB
Baylor College of Medicine,"HITMAC (USA), Inc."
"Altis Semiconductor, SNC",Qimonda AG
CENTRAL JAPAN RAILWAY COMANY,Taisei Corporation
Future Vision Inc.,TOHOKU UNIVERSITY
"Kanto Auto Works, Ltd.",TOYOTA JIDOSHA KABUSHIKI KAISHA
Microsoft Corporation,PANASONIC HOLDINGS CORPORATION
"DOWA HOLDINGS CO., LTD.",Epivalley Co. Ltd.
"DOWA HOLDINGS CO., LTD.","FURUKAWA CO., LTD."
"DOWA HOLDINGS CO., LTD.",MITSUBISHI CHEMICAL CORPORATION
"DOWA HOLDINGS CO., LTD.","TOHOKU TECHNO ARCH CO., LTD."
"DOWA HOLDINGS CO., LTD.",WAVESQUARE INC.
Epivalley Co. Ltd.,"FURUKAWA CO., LTD."
Epivalley Co. Ltd.,MITSUBISHI CHEMICAL CORPORATION
Epivalley Co. Ltd.,"TOHOKU TECHNO ARCH CO., LTD."
Epivalley Co. Ltd.,WAVESQUARE INC.
"FURUKAWA CO., LTD.",MITSUBISHI CHEMICAL CORPORATION
"FURUKAWA CO., LTD.","TOHOKU TECHNO ARCH CO., LTD."
"FURUKAWA CO., LTD.",WAVESQUARE INC.
MITSUBISHI CHEMICAL CORPORATION,"TOHOKU TECHNO ARCH CO., LTD."
MITSUBISHI CHEMICAL CORPORATION,WAVESQUARE INC.
"TOHOKU TECHNO ARCH CO., LTD.",WAVESQUARE INC.
Gradco Ltd.,KRDC LTD.
Hamamatsu Photonics K.K.,NATIONAL INSTITUTES OF NATURAL SCIENCES
The Salk Institute for Biological Study,"The United States of America, as represented by the Department of Health and Human Services"
AJ Lucas Coal Technologies Pty Limited,CMTE  DEVELOPMENT LIMITED
"HONDA MOTOR CO., LTD.","NGK INSULATORS, LTD."
"HONDA MOTOR CO., LTD.",NEC CORPORATION
IMS GEAR GMBH,KEIPER GMBH & CO. KG
Barvell World Trade Ltd.,Marvell Israel (M.I.S.L) Ltd.
SONY GROUP CORPORATION,Sony Ericsson Mobile Communications AB
TRUSTEES OF BOSTON UNIVERSITY,The Board of Trustees of the University of Illinois
"HITACHI, LTD.",SONY GROUP CORPORATION
"HITACHI, LTD.",SOPHIA SCHOOL CORPORATION
SONY GROUP CORPORATION,SOPHIA SCHOOL CORPORATION
"QUALITY EDGE, INC.",WELLNESYS INC.
BP CORPORATION NORTH AMERICA INC.,UOP LLC
Indo Internacional S.A.,UNIVERSITAT DE VALENCIA
Akkumulatorenfabrik Moll GmbH & Co. KG,Banner GmbH
Advanced Bionics AG,John Hopkins School of Medicine
AVENTIS PHARMA S.A.,CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE
AVENTIS PHARMA S.A.,Institut National de la Sante et de la Recherche Medicale (INSERM)
BBN Technologies Corporation,"Level 3 Communications, LLC"
BBN Technologies Corporation,VERIZON CORPORATE SERVICES GROUP INC.
"Level 3 Communications, LLC",VERIZON CORPORATE SERVICES GROUP INC.
AIRBUS,Airbus France
CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE,INSTITUT NATIONAL DES SCIENCES APPLIQUÉES DE LYON
CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE,Les Hospices Civils de Lyon
INSTITUT NATIONAL DES SCIENCES APPLIQUÉES DE LYON,Les Hospices Civils de Lyon
"Great Top Technology Co., Ltd.","Optrom (Hong Kong) International, Ltd."
"Great Top Technology Co., Ltd.","Optrom, Inc."
"Optrom (Hong Kong) International, Ltd.","Optrom, Inc."
PAYPAL INTERNATIONAL LIMITED,"PAYPAL, INC."
IPSEN PHARMA S.A.S.,"Radius Health, Inc."
HERIOT-WATT UNIVERSITY,Seebyte Limited
NEW YORK UNIVERSITY,University of Massachusetts
OLYMPUS CORPORATION,OLYMPUS IMAGING CORP.
